,MovieID,Title,Votes,Rating,Genre
0,tt0038285,Accomplice,133,5.4,"['Film-Noir', ' Mystery', ' Thriller']"
1,tt7268736,Kilometers and Kilometers,703,6.3,"['Adventure', ' Comedy', ' Drama']"
2,tt9695258,So My Grandma's a Lesbian!,43,5.7,['Comedy']
3,tt8431078,Friendsgiving,"1,050",4.3,"['Comedy', ' Drama']"
4,tt3547306,Cut Throat City,"1,201",4.8,"['Action', ' Crime', ' Drama', ' Thriller']"
5,tt10303430,Sightless,"3,780",5.4,"['Drama', ' Thriller']"
6,tt1830643,Death of Me,"2,642",4.3,"['Horror', ' Mystery', ' Thriller']"
7,tt11821818,Double Dad,N/A,N/A,"['Comedy', ' Drama', ' Family']"
8,tt4254242,The Magicians,"42,920",7.6,"['Drama', ' Fantasy', ' Mystery']"
9,tt9794630,The Vanished,"2,100",5.8,"['Action', ' Mystery', ' Thriller']"
10,tt11841144,The Heartbreak Club,23,7.5,"['Comedy', ' Drama', ' Romance']"
11,tt2216156,Last Tango in Halifax,"5,290",8.3,"['Comedy', ' Drama', ' Romance']"
12,tt11799742,100% Halal,26,7.2,['Drama']
13,tt11161474,Pieces of a Woman,"13,523",7.1,['Drama']
14,tt13696668,Tony Parker: The Final Shot,768,6.8,"['Documentary', ' Biography', ' Sport']"
15,tt6527456,Asphalt Burning,"1,254",5.1,"['Action', ' Comedy']"
16,tt11247064,Full Out 2: You Got This!,293,4.6,['Family']
17,tt2185037,Running Man,"2,586",8.9,"['Comedy', ' Game-Show', ' Reality-TV']"
18,tt13649688,Best of Stand-up 2020,326,5.4,['Comedy']
19,tt7569592,Chilling Adventures of Sabrina,"74,096",7.5,"['Drama', ' Fantasy', ' Horror', ' Mystery', ' Thriller']"
20,tt11749980,Tarung Sarung,32,7.8,"['Action', ' Adventure', ' Drama', ' Sport', ' Thriller']"
21,tt13563634,Best Leftovers Ever!,266,5.6,['Reality-TV']
22,tt10973800,Equinox,"2,850",6.1,"['Drama', ' Fantasy', ' Mystery', ' Thriller']"
