,date,link,title,description,href,rating
0,January 29,https://flixable.com/title/below-zero/,Below Zero,2021,https://www.imdb.com/title/tt4016994/?ref_=tt_plg_rt,7.5/10
1,January 29,https://flixable.com/title/finding-ohana/,Finding ‘Ohana,2021,https://www.imdb.com/title/tt10332588/?ref_=tt_plg_rt,6.1/10
2,January 29,https://flixable.com/title/the-dig/,The Dig,2021,https://www.imdb.com/title/tt3661210/?ref_=tt_plg_rt,7.2/10
3,January 29,https://flixable.com/title/we-are-the-brooklyn-saints/,We Are: The Brooklyn...,2021,https://www.imdb.com/title/tt3661210/?ref_=tt_plg_rt,7.2/10
4,January 28,https://flixable.com/title/june-kopi/,June & Kopi,2021,https://www.imdb.com/title/tt13728764/?ref_=tt_plg_rt,6.8/10
5,January 27,https://flixable.com/title/50m2/,50M2,2021,https://www.imdb.com/title/tt13728764/?ref_=tt_plg_rt,6.8/10
6,January 27,https://flixable.com/title/accomplice/,Accomplice,2020,https://www.imdb.com/title/tt13728764/?ref_=tt_plg_rt,6.8/10
7,January 27,https://flixable.com/title/bonding/,BONDING,2021,https://www.imdb.com/title/tt7718088/?ref_=tt_plg_rt,7.2/10
8,January 27,https://flixable.com/title/kilometers-and-kilometers/,Kilometers and Kilometers,2020,https://www.imdb.com/title/tt7268736/?ref_=tt_plg_rt,6.3/10
9,January 27,https://flixable.com/title/outlander/,Outlander,2018,https://www.imdb.com/title/tt3006802/?ref_=tt_plg_rt,8.4/10
10,January 27,https://flixable.com/title/penguin-bloom/,Penguin Bloom,2021,https://www.imdb.com/title/tt6317656/?ref_=tt_plg_rt,6.7/10
11,January 26,https://flixable.com/title/black-rose/,Black Rose,2018,https://www.imdb.com/title/tt6317656/?ref_=tt_plg_rt,6.7/10
12,January 26,https://flixable.com/title/go-dog-go/,Go Dog Go,2021,https://www.imdb.com/title/tt6317656/?ref_=tt_plg_rt,6.7/10
13,January 26,https://flixable.com/title/hire-a-woman/,Hire a Woman,2019,https://www.imdb.com/title/tt10279104/?ref_=tt_plg_rt,5.7/10
14,January 26,https://flixable.com/title/she-is/,She Is,2019,https://www.imdb.com/title/tt10279104/?ref_=tt_plg_rt,5.7/10
15,January 24,https://flixable.com/title/love-ft-marriage-and-divorce/,Love (ft. Marriage and...,2021,https://www.imdb.com/title/tt10279104/?ref_=tt_plg_rt,5.7/10
16,January 22,https://flixable.com/title/blown-away/,Blown Away,2021,https://www.imdb.com/title/tt9908860/?ref_=tt_plg_rt,7.0/10
17,January 22,https://flixable.com/title/busted/,Busted!,2021,https://www.imdb.com/title/tt8328460/?ref_=tt_plg_rt,7.6/10
18,January 22,https://flixable.com/title/demon-slayer-kimetsu-no-yaiba/,Demon Slayer: Kimetsu...,2019,https://www.imdb.com/title/tt9335498/?ref_=tt_plg_rt,8.7/10
19,January 22,https://flixable.com/title/fate-the-winx-saga/,Fate: The Winx Saga,2021,https://www.imdb.com/title/tt8179402/?ref_=tt_plg_rt,7.1/10
20,January 22,https://flixable.com/title/jurassic-world-camp-cretaceous/,Jurassic World Camp...,2021,https://www.imdb.com/title/tt10436228/?ref_=tt_plg_rt,7.4/10
21,January 22,https://flixable.com/title/so-my-grandmas-a-lesbian/,So My Grandma’s a Lesbian!,2020,https://www.imdb.com/title/tt10436228/?ref_=tt_plg_rt,7.4/10
22,January 22,https://flixable.com/title/the-next-three-days/,The Next Three Days,2010,https://www.imdb.com/title/tt1458175/?ref_=tt_plg_rt,7.4/10
23,January 22,https://flixable.com/title/the-white-tiger/,The White Tiger,2021,https://www.imdb.com/title/tt6571548/?ref_=tt_plg_rt,7.2/10
